title,price,star_rating,availability,category
It's Only the Himalayas,45.17,2,In stock,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,In stock,Travel
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,In stock,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,In stock,Travel
Under the Tuscan Sun,37.33,3,In stock,Travel
A Summer In Europe,44.34,2,In stock,Travel
The Great Railway Bazaar,30.54,1,In stock,Travel
A Year in Provence (Provence #1),56.88,4,In stock,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,In stock,Travel
Neither Here nor There: Travels in Europe,38.95,3,In stock,Travel
"1,000 Places to See Before You Die",26.08,5,In stock,Travel
Sharp Objects,47.82,4,In stock,Mystery
"In a Dark, Dark Wood",19.63,1,In stock,Mystery
The Past Never Ends,56.5,4,In stock,Mystery
A Murder in Time,16.64,1,In stock,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,In stock,Mystery
The Last Mile (Amos Decker #2),54.21,2,In stock,Mystery
That Darkness (Gardiner and Renner #1),13.92,1,In stock,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1,In stock,Mystery
A Time of Torment (Charlie Parker #14),48.35,5,In stock,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,2,In stock,Mystery
Poisonous (Max Revere Novels #3),26.8,3,In stock,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,In stock,Mystery
Most Wanted,35.28,3,In stock,Mystery
Hide Away (Eve Duncan #20),11.84,1,In stock,Mystery
Boar Island (Anna Pigeon #19),59.48,3,In stock,Mystery
The Widow,27.26,2,In stock,Mystery
Playing with Fire,13.71,3,In stock,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,In stock,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,In stock,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,In stock,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,In stock,Mystery
In the Woods (Dublin Murder Squad #1),38.38,2,In stock,Mystery
The Silkworm (Cormoran Strike #2),23.05,5,In stock,Mystery
The Exiled,43.45,3,In stock,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,In stock,Mystery
Extreme Prey (Lucas Davenport #26),25.4,3,In stock,Mystery
Career of Evil (Cormoran Strike #3),24.72,2,In stock,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,In stock,Mystery
The Girl You Lost,12.29,5,In stock,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,3,In stock,Mystery
Blood Defense (Samantha Brinkman #1),20.3,3,In stock,Mystery
1st to Die (Women's Murder Club #1),53.98,1,In stock,Mystery
Tipping the Velvet,53.74,1,In stock,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,In stock,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,5,In stock,Historical Fiction
The House by the Lake,36.95,1,In stock,Historical Fiction
Mrs. Houdini,30.25,5,In stock,Historical Fiction
The Marriage of Opposites,28.08,4,In stock,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,3,In stock,Historical Fiction
"Love, Lies and Spies",20.55,2,In stock,Historical Fiction
A Paris Apartment,39.01,4,In stock,Historical Fiction
Lilac Girls,17.28,2,In stock,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,3,In stock,Historical Fiction
The Invention of Wings,37.34,1,In stock,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,4,In stock,Historical Fiction
The Passion of Dolssa,28.32,5,In stock,Historical Fiction
Girl With a Pearl Earring,26.77,1,In stock,Historical Fiction
Voyager (Outlander #3),21.07,5,In stock,Historical Fiction
The Red Tent,35.66,5,In stock,Historical Fiction
The Last Painting of Sara de Vos,55.55,2,In stock,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,1,In stock,Historical Fiction
Girl in the Blue Coat,46.83,2,In stock,Historical Fiction
Between Shades of Gray,20.79,5,In stock,Historical Fiction
While You Were Mine,41.32,5,In stock,Historical Fiction
The Secret Healer,34.56,3,In stock,Historical Fiction
Starlark,25.83,3,In stock,Historical Fiction
Lost Among the Living,27.7,4,In stock,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,5,In stock,Historical Fiction
